,country_name,latitude,longitude
0,Thailand,13.75336,100.50482
1,United States,38.89036,-77.03196
2,Japan,35.6895,139.69172
3,China,39.90657,116.38765
4,Brazil,-15.7783,-47.9291
5,United Kingdom,51.50643,-0.12721
6,United Arab Emirates,24.46918,54.37173
7,Russian Federation,55.75696,37.61502
8,New Zealand,-41.28949,174.77686
9,Sweden,59.33257,18.06682
10,Chile,-33.43723,-70.65003
11,Indonesia,-6.17148,106.82648
12,Belgium,50.84439,4.35608
13,Malaysia,3.14789,101.69404
14,Slovakia,48.14924,17.10699
15,Australia,-35.3065,149.1266
16,Croatia,45.80724,15.96757
17,South Korea,37.55886,126.99989
18,Qatar,25.29424,51.51966
19,Czech Republic,50.07914,14.43299
20,Finland,60.17116,24.93265
21,Puerto Rico,18.46536,-66.11692
22,Turkey,39.92121,32.85393
23,Germany,52.51604,13.37691
24,Spain,40.41955,-3.69197
25,Ukraine,50.45056,30.52428
26,Cyprus,35.17197,33.36489
27,Pakistan,33.70964,73.07544
28,Saudi Arabia,24.68204,46.68725
29,Latvia,56.94596,24.11481
30,Austria,48.20263,16.36842
31,Greece,37.97614,23.7364
32,Lithuania,54.69062,25.2698
33,Switzerland,46.94843,7.44046
34,Portugal,38.72633,-9.14952
35,Ireland,53.34807,-6.24828
36,Hungary,47.49972,19.05508
37,Armenia,40.17795,44.51402
38,Iran,35.68877,51.41503
39,Bulgaria,42.69718,23.32433
40,France,48.85717,2.3414
41,Estonia,59.43642,24.75257
42,Mexico,19.43195,-99.13315
43,Egypt,30.04427,31.23525
44,Sri Lanka,6.88398,79.90079
45,Italy,41.90325,12.49563
46,Serbia,44.8131,20.46329
47,Taiwan,25.03737,121.56355
48,Belarus,53.90374,27.56545
49,India,28.63141,77.21676
50,Georgia,41.70907,44.7961
51,Poland,52.2356,21.01037
52,Colombia,4.61496,-74.06942
53,Ecuador,-0.20567,-78.50881
54,Myanmar,19.72682,96.07529
55,Netherlands,52.36993,4.90787
56,Singapore,1.29087,103.85238
57,Viet Nam,21.02884,105.85462
58,Canada,45.42177,-75.69122
59,Denmark,55.67567,12.56755
60,Hong Kong,22.27683,114.17612
61,Philippines,14.60487,120.98627
62,Iceland,64.14748,-21.93419
63,Sudan,15.58651,32.52318
64,Kenya,-1.28353,36.82379
65,Somalia,2.03812,45.34156
66,Norway,59.91234,10.75
67,Costa Rica,9.92975,-84.0857
68,South Africa,-25.74579,28.18832
69,Uzbekistan,41.32569,69.24134
70,Nigeria,9.06344,7.46228
71,Romania,44.43429,26.10298
72,Brunei Darussalam,4.8919,114.94043
73,Mozambique,-25.97457,32.57327
74,Cambodia,11.56261,104.87914
75,Cuba,23.13211,-82.3675
76,Israel,31.78003,35.21873
77,Bhutan,27.47531,89.63399
78,Ethiopia,9.01358,38.76286
79,Bangladesh,23.71323,90.39958
80,Slovenia,46.05062,14.50282
81,Peru,-12.05618,-77.0268
82,Sierra Leone,8.48686,-13.23469
83,Zimbabwe,-17.8244,31.04994
84,Zambia,-15.42562,28.27873
85,Uganda,0.31589,32.57501
86,Luxembourg,49.6096,6.12966
87,Nepal,27.69329,85.32227
88,Bahrain,26.22952,50.57604
89,Laos,17.9518,102.61893
90,South Sudan,4.83975,31.59758
91,Panama,8.95241,-79.53539
92,Ghana,5.57888,-0.23262
93,Argentina,-34.6085,-58.37344
94,Morocco,34.01791,-6.83612
95,Paraguay,-25.29738,-57.62776
96,Dominican Republic,18.47185,-69.89139
97,Lebanon,33.89607,35.50678
98,Honduras,14.08192,-87.20548
99,Bolivia,-16.49909,-68.13379
100,Tunisia,36.80001,10.1827
101,Venezuela,10.50555,-66.91772
102,Papua New Guinea,-9.45508,147.20381
103,Malawi,-13.98558,33.77027
104,North Macedonia,41.99468,21.43029
105,Jamaica,17.97092,-76.78827
106,Malta,35.89353,14.5118
107,Kuwait,29.37332,47.97162
108,Jordan,31.9518,35.94042
109,Iraq,33.3421,44.39307
110,Palestine,31.7617,-95.632
111,Azerbaijan,40.41066,49.87222
112,Montenegro,42.43544,19.26389
113,Oman,23.61523,58.59125
114,Democratic Republic Congo,9.00933,38.77049
115,Algeria,36.77156,3.05929
116,Kazakhstan,51.12771,71.4283
117,Cameroon,3.84675,11.52025
118,Senegal,14.66927,-17.43662
119,Cote d'Ivoire,6.82161,-5.28024
120,Monaco,43.73286,7.41754
121,Mongolia,47.92218,106.91809
122,Rwanda,-1.97576,30.03176
123,Tanzania,-6.17351,35.74689
124,Uruguay,-34.87418,-56.16294
125,Macao,22.18445,113.53892
126,Kyrgyzstan,42.88434,74.60354
127,Mauritius,-20.16545,57.51491
128,Syrian Arab Republic,33.51656,36.31708
129,Bosnia and Herzegovina,43.85945,18.43583
130,Trinidad and Tobago,10.66103,-61.51604
131,Chad,12.11315,15.04912
132,Guatemala,14.63325,-90.46711
133,Swaziland,-26.32604,31.1411
134,Angola,-8.81567,13.23287
135,Haiti,18.54495,-72.33562
136,Afghanistan,34.53313,69.10221
137,El Salvador,13.69967,-89.20681
138,Central African Republic,4.39669,18.5586
139,Nicaragua,12.1172,-86.24082
140,Timor-Leste,-8.55409,125.57033
141,Mali,12.65039,-8.00005
142,Niger,13.51627,2.11633
143,Benin,6.48812,2.6138
144,Libya,32.89534,13.18104
145,Albania,41.32232,19.82517
146,Burkina Faso,12.36857,-1.52711
147,Mauritania,18.09193,-15.97248
148,Yemen,15.3667,44.21122
149,Gabon,0.39327,9.44644
150,Madagascar,-18.91004,47.52736
151,Burundi,-3.42705,29.92956
152,Botswana,-24.65528,25.91903
153,Togo,6.13969,1.22958
154,Eritrea,15.33638,38.93691
155,French Guiana,3.92588,-53.23431
156,Fiji,-18.14127,178.42325
157,Gambia,13.45359,-16.57475
158,Namibia,-22.5716,17.09074
159,Moldova,47.02316,28.83456
160,Liberia,6.31672,-10.80213
161,Guinea,9.51198,-13.70539
162,Guinea-Bissau,11.85946,-15.59854
163,Congo,-35.96141,150.12602
164,Belize,17.25414,-88.77043
165,Seychelles,-4.62278,55.45228
166,Cape Verde,14.9155,-23.50941
167,Guyana,6.80857,-58.16125
168,Maldives,4.17524,73.50928
169,Aruba,12.52367,-70.03488
170,Federated States of Micronesia,6.91773,158.15775
